m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
Z86Z,0425B,PCA INTL,PCA INTL,,,,N,,,,,,,,,,1,,,,,,,,,
FFFC,1186Q,FRANKLIN FIRST,FRANKLIN FIRST,,,,N,,,,,,,,,,12,,,,,,,,,
WSTF,1197Q,WESTERN FINL CP,WESTERN FINL CP,,,,N,,,,,,,,,,12,,,,,,,,,
HBCI,1209Q,HARMONIA,HARMONIA,,,,N,,,,,,,,,,12,,,,,,,,,
TONE,1352Q,ONE BCP,ONE BCP,,,,N,,,,,,,,,,12,,,,,,,,,
STC,1367Q,STAR CHOICE COM,STAR CHOICE COM,,,,N,,,,,,,,,,8,,,,,,,,,
MTN,1369Q,MOUNTAIN MED EQ,MOUNTAIN MED EQ,,,,N,,,,,,,,,,3,,,,,,,,,
SNRS,1370Q,SUNRISE BCP,SUNRISE BCP,,,,N,,,,,,,,,,6,,,,,,,,,
ECI1,1461Q,AMER PHOENX-OLD,AMER PHOENX-OLD,,,,N,,,,,,,,,,8,,,,,,,,,
ANE&,1493Q,AMER NAT ENERGY,AMER NAT ENERGY,,,,N,,,,,,,,,,12,,,,,,,,,
YCCN,1494Q,CDN CONQUEST,CDN CONQUEST,,,,N,,,,,,,,,,12,,,,,,,,,
SFSI,1600Q,SUNWEST FIN SVC,SUNWEST FIN SVC,,,,N,,,,,,,,,,12,,,,,,,,,
PVA,1683Q,PROVIDENT LIFE,PROVIDENT LIFE,,,,N,,,,,,,,,,12,,,,,,,,,
SDP1,1700Q,SUNSOURCE LP-A,SUNSOURCE LP-A,,,,N,,,,,,,,,,12,,,,,,,,,
X38X,1737Q,MGM/UA COMMS CO,MGM/UA COMMS CO,,,,N,,,,,,,,,,8,,,,,,,,,
ZRFP,1847B,RF&P CORP,RF&P CORP,,,,N,,,,,,,,,,12,,,,,,,,,
KNDR,1977Q,ENSTAR GROUP,ENSTAR GROUP,,,,N,,,,,,,,,,12,,,,,,,,,
CGS&,2126B,CEC RESOURCES,CEC RESOURCES,,,,N,,,,,,,,,,11,,,,,,,,,
BNHC,2169Q,BANK NEW HAMPSH,BANK NEW HAMPSH,,,,N,,,,,,,,,,12,,,,,,,,,
SURE,2185B,SCOR US CORP,SCOR US CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CTEL,2362B,CONCORD TELEPHO,CONCORD TELEPHO,,,,N,,,,,,,,,,12,,,,,,,,,
IN2&,2496Q,INTERACT GROUP,INTERACT GROUP,,,,N,,,,,,,,,,12,,,,,,,,,
ATRC,2510Q,ATRIA COMMUN,ATRIA COMMUN,,,,N,,,,,,,,,,12,,,,,,,,,
CISI,2566Q,CIS TECH INC,CIS TECH INC,,,,N,,,,,,,,,,12,,,,,,,,,
ABNK,2640Q,AMERIBANC INC,AMERIBANC INC,,,,N,,,,,,,,,,12,,,,,,,,,
LMAN,2712Q,LIVE ENTERTAIN,LIVE ENTERTAIN,,,,N,,,,,,,,,,12,,,,,,,,,
XLND,2792Q,CROSSLAND FSB,CROSSLAND FSB,,,,N,,,,,,,,,,12,,,,,,,,,
FSBK,2930Q,FIRST SERVICE,FIRST SERVICE,,,,N,,,,,,,,,,12,,,,,,,,,
TCC1,3187B,AT&T CAPITAL CP,AT&T CAPITAL CP,,,,N,,,,,,,,,,12,,,,,,,,,
#MET,3189B,METROPL REALTY,METROPL REALTY,,,,N,,,,,,,,,,12,,,,,,,,,
IMPT,3207B,INTEGR MICRO,INTEGR MICRO,,,,N,,,,,,,,,,9,,,,,,,,,
SBN&,3213Q,SUBURBAN BCS-MD,SUBURBAN BCS-MD,,,,N,,,,,,,,,,12,,,,,,,,,
PFSI,3219B,PIONEER FIN SVC,PIONEER FIN SVC,,,,N,,,,,,,,,,12,,,,,,,,,
CPG,3262Q,CMS ENERGY -G,CMS ENERGY -G,,,,N,,,,,,,,,,12,,,,,,,,,
SAIL,3290Q,CHARTER BANCSHS,CHARTER BANCSHS,,,,N,,,,,,,,,,12,,,,,,,,,
YPPC,3340B,POWER PLUS CORP,POWER PLUS CORP,,,,N,,,,,,,,,,1,,,,,,,,,
FML,3346Q,US BANCORP-OLD,US BANCORP-OLD,,,,N,,,,,,,,,,12,,,,,,,,,
ULS,3347Z,US LEASING,US LEASING,,,,N,,,,,,,,,,12,,,,,,,,,
FLO,3387Q,FLOWERS INDS,FLOWERS INDS,,,,N,,,,,,,,,,12,,,,,,,,,
FLB&,3393Q,FLETCH BLDG-ADR,FLETCH BLDG-ADR,,,,N,,,,,,,,,,6,,,,,,,,,
ISG,3399B,ISS-INTL SVC,ISS-INTL SVC,,,,N,,,,,,,,,,12,,,,,,,,,
OMG&,3517B,OMNI MULTIMEDIA,OMNI MULTIMEDIA,,,,N,,,,,,,,,,3,,,,,,,,,
GRNT,3542B,GRANT GEOPHYSCL,GRANT GEOPHYSCL,,,,N,,,,,,,,,,12,,,,,,,,,
FMDC,3574Q,FOUR MEDIA CO,FOUR MEDIA CO,,,,N,,,,,,,,,,7,,,,,,,,,
FNC,3614B,CITICORP,CITICORP,,,,N,,,,,,,,,,12,,,,,,,,,
REGL,3615B,REGAL CINEMAS,REGAL CINEMAS,,,,N,,,,,,,,,,12,,,,,,,,,
WVTK,3622B,WAVETEK CORP,WAVETEK CORP,,,,N,,,,,,,,,,9,,,,,,,,,
AARC,3AARC,AMER AIRCRAFT A,AMER AIRCRAFT A,,,,N,,,,,,,,,,11,,,,,,,,,
AAST,3AASQ,ACTION AUTO STO,ACTION AUTO STO,,,,N,,,,,,,,,,6,,,,,,,,,
#CND,3ACFY,AMER CONFC CORP,AMER CONFC CORP,,,,N,,,,,,,,,,6,,,,,,,,,
ACC&,3ACPX,AMER COMPL CARE,AMER COMPL CARE,,,,N,,,,,,,,,,7,,,,,,,,,
#ACY,3ACYG,AMERICAN CYTOGE,AMERICAN CYTOGE,,,,N,,,,,,,,,,1,,,,,,,,,
ADCC,3ADCC,APPLD DATA COMM,APPLD DATA COMM,,,,N,,,,,,,,,,3,,,,,,,,,
AMSI,3ADNM,ADV MONITOR SYS,ADV MONITOR SYS,,,,N,,,,,,,,,,9,,,,,,,,,
#ADR,3ADRE,AUDRE RECOG SYS,AUDRE RECOG SYS,,,,N,,,,,,,,,,4,,,,,,,,,
AHR,3AHTC,AMERICANA HOTEL,AMERICANA HOTEL,,,,N,,,,,,,,,,12,,,,,,,,,
ALGO,3ALGD,ALGOREX CORP,ALGOREX CORP,,,,N,,,,,,,,,,6,,,,,,,,,
#ALL,3ALLR,ALLERCARE INC,ALLERCARE INC,,,,N,,,,,,,,,,4,,,,,,,,,
ALOY,3ALOY,ALLOY COMPUTER,ALLOY COMPUTER,,,,N,,,,,,,,,,12,,,,,,,,,
AMRE,3AMMR,AMRE INC,AMRE INC,,,,N,,,,,,,,,,12,,,,,,,,,
#AMV,3AMVC,AMERICAN VISION,AMERICAN VISION,,,,N,,,,,,,,,,12,,,,,,,,,
ANSY,3ANSY,AMER NURS PROD,AMER NURS PROD,,,,N,,,,,,,,,,5,,,,,,,,,
STDL,3APNG,APPOINT TECH,APPOINT TECH,,,,N,,,,,,,,,,10,,,,,,,,,
#ASM,3ASMS,ASSOCIATED MORT,ASSOCIATED MORT,,,,N,,,,,,,,,,12,,,,,,,,,
AUDS,3AUDS,AUDIOSCIENCE,AUDIOSCIENCE,,,,N,,,,,,,,,,12,,,,,,,,,
#AVI,3AVIT,AVITAR INC-OLD,AVITAR INC-OLD,,,,N,,,,,,,,,,7,,,,,,,,,
#BAL,3BALC,BALDWIN SECURIT,BALDWIN SECURIT,,,,N,,,,,,,,,,12,,,,,,,,,
BAY,3BAYC,BAY FINL,BAY FINL,,,,N,,,,,,,,,,6,,,,,,,,,
#BKC,3BCKI,BUCKEYE COMMUNI,BUCKEYE COMMUNI,,,,N,,,,,,,,,,12,,,,,,,,,
#BI2,3BION,BIOANALOGICS IN,BIOANALOGICS IN,,,,N,,,,,,,,,,9,,,,,,,,,
#BI3,3BISN,BIOSONICS INC,BIOSONICS INC,,,,N,,,,,,,,,,12,,,,,,,,,
#BOG,3BOGN,BOGEN CORP,BOGEN CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#BOT,3BOTN,BOUTON CORP,BOUTON CORP,,,,N,,,,,,,,,,2,,,,,,,,,
VST,3BYNH,BANYAN ST IN TR,BANYAN ST IN TR,,,,N,,,,,,,,,,12,,,,,,,,,
CAFM,3CAFM,CAPFILM INC,CAPFILM INC,,,,N,,,,,,,,,,12,,,,,,,,,
CHRO,3CDYN,CHRONODYNAMICS,CHRONODYNAMICS,,,,N,,,,,,,,,,9,,,,,,,,,
CMFL,3CFKI,COMFED BANCORP,COMFED BANCORP,,,,N,,,,,,,,,,3,,,,,,,,,
CLIC,3CLIC,CLAIRSON INTL,CLAIRSON INTL,,,,N,,,,,,,,,,9,,,,,,,,,
#CSA,3CLSR,CALSTAR INC,CALSTAR INC,,,,N,,,,,,,,,,4,,,,,,,,,
CMPX,3CPTX,COMPTRONIX CORP,COMPTRONIX CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#CRO,3CRON,CROWN BRANDS IN,CROWN BRANDS IN,,,,N,,,,,,,,,,12,,,,,,,,,
#CSE,3CSEL,CARIBBEAN SELEC,CARIBBEAN SELEC,,,,N,,,,,,,,,,12,,,,,,,,,
CSV,3CSVO,COLUMBIA S&L,COLUMBIA S&L,,,,N,,,,,,,,,,12,,,,,,,,,
CAKE,3CTCI,CHARLOTTE CHARL,CHARLOTTE CHARL,,,,N,,,,,,,,,,6,,,,,,,,,
CTIA,3CTIA,COMM TRANSMISS,COMM TRANSMISS,,,,N,,,,,,,,,,12,,,,,,,,,
QCWO,3CWLO,COMMONWLTH OIL,COMMONWLTH OIL,,,,N,,,,,,,,,,12,,,,,,,,,
CBR,3CYTB,CRYSTAL BRANDS,CRYSTAL BRANDS,,,,N,,,,,,,,,,12,,,,,,,,,
DTI&,3DTCI,DOCUMENT TECH,DOCUMENT TECH,,,,N,,,,,,,,,,12,,,,,,,,,
#RMS,3DVCI,DIVERFD COM IND,DIVERFD COM IND,,,,N,,,,,,,,,,12,,,,,,,,,
DAVY,3DVTX,DAVEY TREE EXP,DAVEY TREE EXP,,,,N,,,,,,,,,,12,,,,,,,,,
EGL,3EACL,EAGLE CLOTHES,EAGLE CLOTHES,,,,N,,,,,,,,,,7,,,,,,,,,
#EEC,3EECC,EECO INC,EECO INC,,,,N,,,,,,,,,,12,,,,,,,,,
#AMG,3EGRP,ENCORE GRP INC,ENCORE GRP INC,,,,N,,,,,,,,,,12,,,,,,,,,
ELEX,3ELXC,ELEXIS CORP,ELEXIS CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#ETR,3ENTC,ENTREE CORP,ENTREE CORP,,,,N,,,,,,,,,,3,,,,,,,,,
#ESP,3ESPC,EDUCATION SYSTE,EDUCATION SYSTE,,,,N,,,,,,,,,,12,,,,,,,,,
EVG&,3EVRG,EVERGREEN INFO,EVERGREEN INFO,,,,N,,,,,,,,,,11,,,,,,,,,
FCH,3FCHC,FIRST CAP HLDG,FIRST CAP HLDG,,,,N,,,,,,,,,,12,,,,,,,,,
FLTI,3FLTI,FLIGHT INTL GRP,FLIGHT INTL GRP,,,,N,,,,,,,,,,4,,,,,,,,,
#FLY,3FLYT,FLIGHT DYNAMICS,FLIGHT DYNAMICS,,,,N,,,,,,,,,,12,,,,,,,,,
FSA&,3FSAC,FORMOSA RES,FORMOSA RES,,,,N,,,,,,,,,,7,,,,,,,,,
#FUR,3FURA,ANTONOVICH INC,ANTONOVICH INC,,,,N,,,,,,,,,,3,,,,,,,,,
#GB4,3GBIB,GRANADA BIOSCIE,GRANADA BIOSCIE,,,,N,,,,,,,,,,12,,,,,,,,,
#GBI,3GBII,GBI INTERNATION,GBI INTERNATION,,,,N,,,,,,,,,,3,,,,,,,,,
#GEE,3GEEN,GENETIC ENGINEE,GENETIC ENGINEE,,,,N,,,,,,,,,,8,,,,,,,,,
#GGG,3GGGG,4G DATA SYSTEMS,4G DATA SYSTEMS,,,,N,,,,,,,,,,4,,,,,,,,,
#ENP,3GRPV,GROUP V CORP,GROUP V CORP,,,,N,,,,,,,,,,9,,,,,,,,,
#HBI,3HBII,HOUSTON BIOMEDI,HOUSTON BIOMEDI,,,,N,,,,,,,,,,12,,,,,,,,,
HCFI,3HCFO,HEALTH CONCEPT,HEALTH CONCEPT,,,,N,,,,,,,,,,11,,,,,,,,,
#HOF,3HFMI,HOFMANN INDUSTR,HOFMANN INDUSTR,,,,N,,,,,,,,,,4,,,,,,,,,
#HNG,3HNGI,HOSPITAL NEWSPA,HOSPITAL NEWSPA,,,,N,,,,,,,,,,4,,,,,,,,,
PLEY,3HOGL,HONDO OIL & GAS,HONDO OIL & GAS,,,,N,,,,,,,,,,9,,,,,,,,,
HOMS,3HOMS,HOME STATE HLDG,HOME STATE HLDG,,,,N,,,,,,,,,,12,,,,,,,,,
#IAI,3IAIR,INDEPENDENT AIR,INDEPENDENT AIR,,,,N,,,,,,,,,,12,,,,,,,,,
IBCO,3IBAR,INTL BARRIER CP,INTL BARRIER CP,,,,N,,,,,,,,,,10,,,,,,,,,
#ICT,3ICTI,INTL CMOS TECHN,INTL CMOS TECHN,,,,N,,,,,,,,,,9,,,,,,,,,
IRE,3IGRR,INTEGRATED RESO,INTEGRATED RESO,,,,N,,,,,,,,,,12,,,,,,,,,
#IM3,3IMPY,IMPLANT TECH,IMPLANT TECH,,,,N,,,,,,,,,,12,,,,,,,,,
#IMR,3IMRC,INTL MANAGEMENT,INTL MANAGEMENT,,,,N,,,,,,,,,,12,,,,,,,,,
INVN,3INVN,INVITRON CORP,INVITRON CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#JJS,3JJSH,JUMPING JACKS S,JUMPING JACKS S,,,,N,,,,,,,,,,4,,,,,,,,,
#JPS,3JPSC,JONES PLUMBING,JONES PLUMBING,,,,N,,,,,,,,,,12,,,,,,,,,
#LSS,3LSSI,LEGAL SOFTWARE,LEGAL SOFTWARE,,,,N,,,,,,,,,,4,,,,,,,,,
#MEG,3MEGI,MEGAMATION INC,MEGAMATION INC,,,,N,,,,,,,,,,6,,,,,,,,,
#ME4,3METK,MEMTEK CORP,MEMTEK CORP,,,,N,,,,,,,,,,3,,,,,,,,,
#MS2,3MIRC,MICROSCIENCE CP,MICROSCIENCE CP,,,,N,,,,,,,,,,6,,,,,,,,,
#MOV,3MOVY,NEW STAR ENTERT,NEW STAR ENTERT,,,,N,,,,,,,,,,3,,,,,,,,,
MSM,3MSMD,MOTTS HLDGS INC,MOTTS HLDGS INC,,,,N,,,,,,,,,,12,,,,,,,,,
MTEK,3MTEK,MONITEK TECH,MONITEK TECH,,,,N,,,,,,,,,,3,,,,,,,,,
MUS&,3MUSS,MUSICSOURCE USA,MUSICSOURCE USA,,,,N,,,,,,,,,,1,,,,,,,,,
#AAM,3NAAM,NORTH AMER ADV,NORTH AMER ADV,,,,N,,,,,,,,,,3,,,,,,,,,
#NFF,3NCFF,NCF FINANCIAL C,NCF FINANCIAL C,,,,N,,,,,,,,,,9,,,,,,,,,
NRG&,3NRGI,TRI-LITE INC,TRI-LITE INC,,,,N,,,,,,,,,,12,,,,,,,,,
NSTR,3NSTR,NORTHSTAR HLTH,NORTHSTAR HLTH,,,,N,,,,,,,,,,12,,,,,,,,,
#NUD,3NUDY,ND RESOURCES IN,ND RESOURCES IN,,,,N,,,,,,,,,,6,,,,,,,,,
#ORI,3ORIG,ORIGINAL ITALIA,ORIGINAL ITALIA,,,,N,,,,,,,,,,6,,,,,,,,,
OSPY,3OSPH,OSPREY HOLDINGS,OSPREY HOLDINGS,,,,N,,,,,,,,,,6,,,,,,,,,
#OTE,3OTEC,OMNITEC INC,OMNITEC INC,,,,N,,,,,,,,,,9,,,,,,,,,
OP2&,3OXBM,OPTEX BIOMEDICA,OPTEX BIOMEDICA,,,,N,,,,,,,,,,12,,,,,,,,,
#TEC,3PCAK,PAC CASCADE RES,PAC CASCADE RES,,,,N,,,,,,,,,,6,,,,,,,,,
PGA,3PGAI,PGI INC,PGI INC,,,,N,,,,,,,,,,12,,,,,,,,,
Z91Z,3PGOD,PENGO INDS INC,PENGO INDS INC,,,,N,,,,,,,,,,9,,,,,,,,,
PMAC,3PKGM,PACKAGE MACHY,PACKAGE MACHY,,,,N,,,,,,,,,,12,,,,,,,,,
PANS,3PNSY,PANSOPHIC SYS,PANSOPHIC SYS,,,,N,,,,,,,,,,4,,,,,,,,,
#PPA,3PPAC,PENN PACIFIC CO,PENN PACIFIC CO,,,,N,,,,,,,,,,9,,,,,,,,,
#PTE,3PTEK,PROTECTAIRE SYS,PROTECTAIRE SYS,,,,N,,,,,,,,,,7,,,,,,,,,
#PAC,3PTRH,PACESETTER HOME,PACESETTER HOME,,,,N,,,,,,,,,,12,,,,,,,,,
RAGN,3RAGN,RAGEN CORP,RAGEN CORP,,,,N,,,,,,,,,,9,,,,,,,,,
X67X,3RNGR,COLECO,COLECO,,,,N,,,,,,,,,,12,,,,,,,,,
#RRR,3RRMI,RESIDENTIAL RES,RESIDENTIAL RES,,,,N,,,,,,,,,,12,,,,,,,,,
TFRE,3RSID,RESIDUAL CORP,RESIDUAL CORP,,,,N,,,,,,,,,,3,,,,,,,,,
RTE1,3RTEC,ROSS TECHNOLOGY,ROSS TECHNOLOGY,,,,N,,,,,,,,,,3,,,,,,,,,
#RWT,3RWTI,RW TECHNOLOGY I,RW TECHNOLOGY I,,,,N,,,,,,,,,,12,,,,,,,,,
#SAM,3SAMI,UNITED SATELLIT,UNITED SATELLIT,,,,N,,,,,,,,,,12,,,,,,,,,
SBP,3SBPC,STANDARD BRAND,STANDARD BRAND,,,,N,,,,,,,,,,1,,,,,,,,,
#SAN,3SCML,SAN CARLOS MILL,SAN CARLOS MILL,,,,N,,,,,,,,,,9,,,,,,,,,
#SPO,3SPTO,SLHD INC,SLHD INC,,,,N,,,,,,,,,,1,,,,,,,,,
SES&,3SRRG,SUNRISE ENERGY,SUNRISE ENERGY,,,,N,,,,,,,,,,12,,,,,,,,,
SSFT,3SSFT,SCIENTIFIC SOFT,SCIENTIFIC SOFT,,,,N,,,,,,,,,,12,,,,,,,,,
#STR,3STFA,STRATFORD AMERI,STRATFORD AMERI,,,,N,,,,,,,,,,12,,,,,,,,,
STRX,3STRX,SYNTREX INC,SYNTREX INC,,,,N,,,,,,,,,,4,,,,,,,,,
STY&,3STYY,STATORDYNE CORP,STATORDYNE CORP,,,,N,,,,,,,,,,6,,,,,,,,,
#TAU,3TAUR,TAURUS PETROLEU,TAURUS PETROLEU,,,,N,,,,,,,,,,9,,,,,,,,,
#THP,3THPD,TRIANGLE HOME P,TRIANGLE HOME P,,,,N,,,,,,,,,,12,,,,,,,,,
TONS,3TONS,TONS OF TOYS,TONS OF TOYS,,,,N,,,,,,,,,,1,,,,,,,,,
TOL,3TOWL,TOWLE MANUFACT,TOWLE MANUFACT,,,,N,,,,,,,,,,12,,,,,,,,,
#RPZ,3TPLP,TEECO PROPERTIE,TEECO PROPERTIE,,,,N,,,,,,,,,,12,,,,,,,,,
#TAC,3TRAH,TRANSACT INTL I,TRANSACT INTL I,,,,N,,,,,,,,,,4,,,,,,,,,
#TRE,3TREE,ASPEN LEAF INC,ASPEN LEAF INC,,,,N,,,,,,,,,,1,,,,,,,,,
TSPH,3TSPH,TELESPHERE COMM,TELESPHERE COMM,,,,N,,,,,,,,,,12,,,,,,,,,
#TWI,3TWIN,TWIN STAR PROD,TWIN STAR PROD,,,,N,,,,,,,,,,12,,,,,,,,,
ISG&,3TWTI,TOTAL WRLD TCOM,TOTAL WRLD TCOM,,,,N,,,,,,,,,,9,,,,,,,,,
VERS,3VERS,VERSATILITY INC,VERSATILITY INC,,,,N,,,,,,,,,,4,,,,,,,,,
#VTE,3VFOP,VITEL FIBER OPT,VITEL FIBER OPT,,,,N,,,,,,,,,,12,,,,,,,,,
#VOT,3VOTP,VOPLEX CORP,VOPLEX CORP,,,,N,,,,,,,,,,12,,,,,,,,,
WAL1,3WALO,WAHLCO ENVIR SY,WAHLCO ENVIR SY,,,,N,,,,,,,,,,12,,,,,,,,,
#DWS,3WCTN,WALL STR COTTON,WALL STR COTTON,,,,N,,,,,,,,,,2,,,,,,,,,
#WIN,3WDIN,WEDDING INFO NE,WEDDING INFO NE,,,,N,,,,,,,,,,6,,,,,,,,,
#WRL,3WRCC,WORLD CONTAINER,WORLD CONTAINER,,,,N,,,,,,,,,,2,,,,,,,,,
#XAR,3XART,ARTAGRAPH REPRO,ARTAGRAPH REPRO,,,,N,,,,,,,,,,11,,,,,,,,,
#ZIT,3ZITI,SIDARI CORP,SIDARI CORP,,,,N,,,,,,,,,,11,,,,,,,,,
TXG,4093A,TEXAS GAS TRANS,TEXAS GAS TRANS,,,,N,,,,,,,,,,12,,,,,,,,,
SUO,4108A,SHELL OIL CO,SHELL OIL CO,,,,N,,,,,,,,,,12,,,,,,,,,
LCIY,4117B,LIFE CENTERS,LIFE CENTERS,,,,N,,,,,,,,,,9,,,,,,,,,
CCT,4228B,COMMODORE CORP,COMMODORE CORP,,,,N,,,,,,,,,,6,,,,,,,,,
ARGO,4268B,ARGO PETROLEUM,ARGO PETROLEUM,,,,N,,,,,,,,,,12,,,,,,,,,
CMSV,4322B,COMSERV CORP,COMSERV CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CRIM,4326B,CRIME CONTROL,CRIME CONTROL,,,,N,,,,,,,,,,12,,,,,,,,,
APL,4328B,APL CORP,APL CORP,,,,N,,,,,,,,,,9,,,,,,,,,
INF,4349B,INFLIGHT SVCES,INFLIGHT SVCES,,,,N,,,,,,,,,,6,,,,,,,,,
INTD,4351B,INTL TELEDATA,INTL TELEDATA,,,,N,,,,,,,,,,12,,,,,,,,,
FGLF,4530B,FLORIDA GULF RE,FLORIDA GULF RE,,,,N,,,,,,,,,,4,,,,,,,,,
VSTA,4620B,VICTORIA STA IN,VICTORIA STA IN,,,,N,,,,,,,,,,3,,,,,,,,,
HISI,4632B,HEALTH INFO SYS,HEALTH INFO SYS,,,,N,,,,,,,,,,6,,,,,,,,,
WEDT,4658B,WEDTECH CORP,WEDTECH CORP,,,,N,,,,,,,,,,12,,,,,,,,,
SBK,4660C,STORER COMMUNIC,STORER COMMUNIC,,,,N,,,,,,,,,,12,,,,,,,,,
#VGR,4713B,VIGORO INDUS,VIGORO INDUS,,,,N,,,,,,,,,,7,,,,,,,,,
MZ,4931C,MACY R H & CO I,MACY R H & CO I,,,,N,,,,,,,,,,7,,,,,,,,,
VSAL,5035B,VISUAL TECH,VISUAL TECH,,,,N,,,,,,,,,,9,,,,,,,,,
WCHI,5200B,WESTWORLD CMTY,WESTWORLD CMTY,,,,N,,,,,,,,,,12,,,,,,,,,
ALNT,5205Z,ALLNET COMMU SV,ALLNET COMMU SV,,,,N,,,,,,,,,,9,,,,,,,,,
X98X,5326A,WORK WEAR CORP,WORK WEAR CORP,,,,N,,,,,,,,,,12,,,,,,,,,
RYT,5402B,FABERGE INC,FABERGE INC,,,,N,,,,,,,,,,12,,,,,,,,,
BLK&,55180,BLACKROCK 2001,BLACKROCK 2001,,,,N,,,,,,,,,,6,,,,,,,,,
PAK1,5533C,PAY N PAK STORE,PAY N PAK STORE,,,,N,,,,,,,,,,2,,,,,,,,,
CIG,5562C,CONTL GRAPHICS,CONTL GRAPHICS,,,,N,,,,,,,,,,1,,,,,,,,,
FLS,5563C,FLA STEEL CORP,FLA STEEL CORP,,,,N,,,,,,,,,,9,,,,,,,,,
PTCI,5571C,PULLMAN CO,PULLMAN CO,,,,N,,,,,,,,,,9,,,,,,,,,
RESM,5572C,RESTAUR MGT SVC,RESTAUR MGT SVC,,,,N,,,,,,,,,,10,,,,,,,,,
BSCO,5574C,BURNHAM SVC,BURNHAM SVC,,,,N,,,,,,,,,,12,,,,,,,,,
CMD,5575C,CHARTER MED A,CHARTER MED A,,,,N,,,,,,,,,,9,,,,,,,,,
CHAT,5577C,CHATHAM MFG,CHATHAM MFG,,,,N,,,,,,,,,,12,,,,,,,,,
JSON,5580C,JOSEPHSON INTL,JOSEPHSON INTL,,,,N,,,,,,,,,,6,,,,,,,,,
PII,5582C,PUEBLO INTL,PUEBLO INTL,,,,N,,,,,,,,,,1,,,,,,,,,
SGL,5654C,SUPERMARKETS GE,SUPERMARKETS GE,,,,N,,,,,,,,,,1,,,,,,,,,
MKY,5698C,MARY KAY COSMET,MARY KAY COSMET,,,,N,,,,,,,,,,12,,,,,,,,,
SG,5705B,SCIENTIFIC LEAS,SCIENTIFIC LEAS,,,,N,,,,,,,,,,6,,,,,,,,,
EDMC,5750B,ELDORADO MOTOR,ELDORADO MOTOR,,,,N,,,,,,,,,,6,,,,,,,,,
RTEC,5805B,RESTEC SYS INC,RESTEC SYS INC,,,,N,,,,,,,,,,6,,,,,,,,,
PIP,5808C,POSTAL INSTANT,POSTAL INSTANT,,,,N,,,,,,,,,,6,,,,,,,,,
KNL,5864A,KNOLL INTL,KNOLL INTL,,,,N,,,,,,,,,,12,,,,,,,,,
CSOL,5873A,COMP CONSOLES,COMP CONSOLES,,,,N,,,,,,,,,,12,,,,,,,,,
GAF,5876C,GAF CORP,GAF CORP,,,,N,,,,,,,,,,12,,,,,,,,,
WIX,5956C,WICKES COS,WICKES COS,,,,N,,,,,,,,,,1,,,,,,,,,
BRF,6036B,BORMANS INC,BORMANS INC,,,,N,,,,,,,,,,1,,,,,,,,,
RBI&,6038C,R B INDS INC,R B INDS INC,,,,N,,,,,,,,,,6,,,,,,,,,
Z97Z,6048B,NEWHALL RESOURC,NEWHALL RESOURC,,,,N,,,,,,,,,,12,,,,,,,,,
APP,6056B,APACHE PETR LP,APACHE PETR LP,,,,N,,,,,,,,,,12,,,,,,,,,
PCRO,6058B,CROSBY PHILIP,CROSBY PHILIP,,,,N,,,,,,,,,,12,,,,,,,,,
DYN,6059B,DYNCORP INC,DYNCORP INC,,,,N,,,,,,,,,,12,,,,,,,,,
FOR1,6061C,FORMICA CORP,FORMICA CORP,,,,N,,,,,,,,,,12,,,,,,,,,
JOAM,6073B,CONSOL COS THE,CONSOL COS THE,,,,N,,,,,,,,,,6,,,,,,,,,
KEP,6074B,KANEB ENERGY PT,KANEB ENERGY PT,,,,N,,,,,,,,,,12,,,,,,,,,
CH,6087B,CHAMPION PRDCT,CHAMPION PRDCT,,,,N,,,,,,,,,,12,,,,,,,,,
Z17Z,6100B,WINJAK INC,WINJAK INC,,,,N,,,,,,,,,,12,,,,,,,,,
BERK,6353A,BERKLINE CORP,BERKLINE CORP,,,,N,,,,,,,,,,6,,,,,,,,,
SMSI,6420B,SCIENTIFIC MICR,SCIENTIFIC MICR,,,,N,,,,,,,,,,12,,,,,,,,,
ITI,6442B,INTER TECH-OLD,INTER TECH-OLD,,,,N,,,,,,,,,,10,,,,,,,,,
PEVN,6448B,POPE EVANS&ROBB,POPE EVANS&ROBB,,,,N,,,,,,,,,,11,,,,,,,,,
AVXC,6533B,AVX CORP,AVX CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CCCI,6534C,C3 INC,C3 INC,,,,N,,,,,,,,,,3,,,,,,,,,
#TND,6559B,TECHNODYNE INC,TECHNODYNE INC,,,,N,,,,,,,,,,7,,,,,,,,,
FLCO,6596B,FINALCO GROUP,FINALCO GROUP,,,,N,,,,,,,,,,6,,,,,,,,,
